KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,718.06,495.03 (-31.1 %),580.76 (-19.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),85.73 (+11.9 %)
Energy bought (kWh),3466.3,3155.0 (-9.0 %),3766.3 (+8.7 %)
Energy sold (kWh),467.3,42.5 (-90.9 %),635.5 (+36.0 %)
