KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1095.97,746.21 (-31.9 %),802.94 (-26.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),56.73 (+5.2 %)
Energy bought (kWh),6029.8,4712.5 (-21.8 %),5023.6 (-16.7 %)
Energy sold (kWh),2108.6,601.1 (-71.5 %),894.0 (-57.6 %)
