KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1066.29,751.00 (-29.6 %),817.47 (-23.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),66.47 (+6.2 %)
Energy bought (kWh),5156.5,4713.7 (-8.6 %),5058.2 (-1.9 %)
Energy sold (kWh),603.5,8.6 (-98.6 %),356.5 (-40.9 %)
