KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,363.73,317.77 (-12.6 %),348.43 (-4.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),30.66 (+8.4 %)
Energy bought (kWh),4569.7,3910.9 (-14.4 %),4411.2 (-3.5 %)
Energy sold (kWh),768.3,36.2 (-95.3 %),537.4 (-30.0 %)
