KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,977.35,950.68 (-2.7 %),973.18 (-0.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),22.50 (+2.3 %)
Energy bought (kWh),12190.6,11858.9 (-2.7 %),12206.7 (+0.1 %)
Energy sold (kWh),382.5,13.3 (-96.5 %),390.4 (+2.1 %)
