KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,426.63,387.39 (-9.2 %),407.17 (-4.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),19.78 (+4.6 %)
Energy bought (kWh),5965.7,5362.1 (-10.1 %),5680.3 (-4.8 %)
Energy sold (kWh),2546.2,1870.7 (-26.5 %),2183.0 (-14.3 %)
