KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,238.36,121.32 (-49.1 %),189.33 (-20.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),68.01 (+28.5 %)
Energy bought (kWh),4018.0,2085.5 (-48.1 %),3203.6 (-20.3 %)
Energy sold (kWh),3862.8,1719.2 (-55.5 %),2810.5 (-27.2 %)
