KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,801.96,423.32 (-47.2 %),553.66 (-31.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),130.34 (+16.3 %)
Energy bought (kWh),4470.2,2740.1 (-38.7 %),3410.5 (-23.7 %)
Energy sold (kWh),2399.5,463.9 (-80.7 %),1123.5 (-53.2 %)
