KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,718.06,495.03 (-31.1 %),583.21 (-18.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),88.18 (+12.3 %)
Energy bought (kWh),3466.3,3155.0 (-9.0 %),3572.6 (+3.1 %)
Energy sold (kWh),467.3,42.5 (-90.9 %),461.0 (-1.3 %)
