KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,383.79,352.40 (-8.2 %),379.25 (-1.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),26.85 (+7.0 %)
Energy bought (kWh),4741.6,4312.6 (-9.0 %),4744.8 (+0.1 %)
Energy sold (kWh),554.7,77.5 (-86.0 %),540.7 (-2.5 %)
