dataset,cost_no_battery,cost_oracle,cost_prophet,buy_no_battery,buy_oracle,buy_prophet,sell_no_battery,sell_oracle,sell_prophet,gross_oracle,energy_oracle,power_oracle,fixed_oracle,termadj_oracle,peakkw_oracle,efc_oracle,gross_prophet,energy_prophet,power_prophet,fixed_prophet,termadj_prophet,peakkw_prophet,efc_prophet,efc_no_battery,cost_self_consumption,efc_self_consumption,cost_fixed_schedule,efc_fixed_schedule,cost_delayed_pv_charge,efc_delayed_pv_charge,cost_price_threshold,efc_price_threshold,cost_price_rank_daily,efc_price_rank_daily,cost_peak_shaving,efc_peak_shaving,cost_self_consumption_peak_shaving,efc_self_consumption_peak_shaving,cost_tariff_arbitrage,efc_tariff_arbitrage,cost_price_oracle,efc_price_oracle,gen_mae,gen_rmse,gen_nmae,gen_skill_vs_naive,gen_mae_first_month,gen_mae_last_month,con_mae,con_rmse,con_nmae,con_skill_vs_naive,con_mae_first_month,con_mae_last_month,regret_prophet,gain_oracle_vs_no_battery_pct,gain_prophet_vs_no_battery_pct,baseline_positive
Ausgrid 138,451.1957720824002,399.78312914026475,460.1785655732337,5965.689,5410.753236328058,6290.66873781853,2546.1800000000003,1822.6758027973449,2701.967553684523,399.5302769363004,377.9190425278998,21.61123440839999,138.02406105930802,0.25285220396433333,7.176,167.12326723001507,459.83938129459904,430.50905435629943,29.330326937899986,138.02406105930802,0.3391842786346801,7.176,168.71336138220107,0.0,416.235198130196,63.37994450000033,434.6793561858169,165.6105416499988,418.140993043197,60.29639404779025,434.37545591143015,111.30475823999977,424.23429037979594,139.38174888797963,445.52433108391784,10.472092632000004,425.16327549229584,48.83842913907778,430.0776382470952,144.5533494264008,433.80618636709676,104.65941344874857,0.3091188114532364,0.6583262555200786,0.6682530037124103,-0.7374169915892939,0.04524314364882497,0.28690811715127174,0.6677767500371513,1.0742948466421849,0.7829187099789828,-0.08329070898800417,0.4660022505979051,0.22903741335546995,60.39543643296895,11.394752815357974,-1.9908860070597043,True
Ausgrid 127,322.0287571848022,291.5282273741437,324.8053614467453,3740.375,3585.601820391794,4141.503077637837,285.355,17.917757624700023,586.4074997710712,291.1852530167003,277.06639613659974,14.118856880100001,137.47113976051384,0.342974357443403,4.912000000000001,113.67780473666771,324.4623870893019,309.84822016390257,14.6141669254,137.47113976051384,0.342974357443403,4.722,101.41210152792976,0.0,307.5245538244448,26.133288749999974,311.81196524768455,215.2217785095003,307.5245538244448,26.133288749999974,308.94722014975883,136.94697460987516,304.4780680092439,172.97722553824957,303.5812834172404,20.48748295110735,294.90224821397925,40.15985328856108,302.36542932294395,181.5554387549672,308.77102156134396,133.54612884999977,0.08011630436425973,0.13956218826057734,0.452141964278596,-0.1269219641618804,0.06948271599393181,0.0731622042753028,0.27335405617507574,0.438463167437699,0.4782248888743982,0.21225066186006358,0.29041897808373307,0.28635005710279515,33.2771340726016,9.471368357688386,-0.8622224568440239,True
Ausgrid 65,423.7855451728988,361.30982365964417,422.75398102954364,4949.204,4335.217020596568,5275.224465636079,790.739,30.37909026633754,981.6012750810897,360.9668493022008,343.0663473644009,17.9005019377,185.78888125867752,0.342974357443403,8.11,146.5223423661802,422.41100667210026,397.84522767800013,24.5657789945,185.78888125867752,0.342974357443403,8.11,135.59516004476959,0.0,384.46701757144547,71.74419474999988,397.45382376728406,230.09257246624935,384.4951502572455,71.69521807801831,401.7001923162243,151.91616365264886,392.5417448698435,193.7471828200002,406.9292933382171,23.220268859857192,376.50477460378073,78.29050519677018,398.1932992641454,187.18156000611742,399.755377742442,149.2355594955,0.12974284464314256,0.2205587200041776,0.5028016005253555,-0.1824783246378363,0.11175110980990763,0.12145179081688519,0.41237207755474187,0.6431886652119221,0.5627728701205439,-0.06341346936635195,0.7606151664215816,0.751653052404559,61.44415736989947,14.742296481057512,0.24341654761592182,True
Ausgrid 148,513.1878360883985,443.7779278565762,508.7743952221419,6218.915000000001,5418.069124591733,6462.438695419987,988.8919999999999,26.782054391000027,1068.3213353641997,443.4481534990998,427.97906532880023,15.4690881702,202.55064172670836,0.329774357476376,6.572,160.88146078803683,508.4314208646985,489.0181451056994,19.4132757592,202.55064172670836,0.342974357443403,6.572,163.78937650892212,0.0,460.1569137721422,89.24803975000019,478.5169440842827,260.7233299100015,460.16700139424216,89.23087962976828,486.21673904517587,165.11112095000036,471.16863650774195,213.25474319000077,494.2703011684223,17.605204138215896,455.5286676739807,90.67675434861202,482.5750803083431,192.98353868992803,486.3057167564415,160.24028215000016,0.10735366838576402,0.18855601448116235,0.473523018373735,-0.09960845042771282,0.09163121463110563,0.09596112387118252,0.5834251503352126,0.8273526816045437,0.7082574698229278,-0.22670981883950425,0.9235194043558526,0.6801778422935707,64.9964673655657,13.525244238225905,0.8600049642440064,True
Ausgrid 223,287.1873527772993,233.21932186844347,287.69608687924176,3304.7740000000003,2784.360257439066,3666.5212106928084,723.391,64.79194040439502,933.5124583571582,232.87634751100006,222.87340648180032,10.002941029200004,210.77897510239706,0.342974357443403,6.864,138.544667894629,287.3531125217984,275.54465394839843,11.8084585733,210.77897510239706,0.342974357443403,6.864,151.64047666659584,0.0,251.22800117844363,64.5855217499998,264.0454969499851,188.74289951520038,251.23656462354356,64.39202813806244,268.07884796709635,138.44820305000013,259.30532635104447,177.18513895000052,269.9236875047411,17.501761852301442,245.98159438305836,69.48288967015661,261.69244023234427,166.73498184751142,268.9383764862443,138.0949281087502,0.07069416439173425,0.12764946163528051,0.4731553630042602,-0.15502137419071782,0.04840654372816343,0.053614894192559284,0.3736769904459165,0.5939819898857646,0.8414471787050918,-0.12263534026752221,0.6712649005796805,0.45653922873188213,54.47676501079829,18.791924639768368,-0.17714363011555734,True
Ausgrid 179,295.5339048137975,257.80902757084186,300.01275741104024,3448.159,3178.7159188958913,3896.388653865566,403.714,21.288704999000025,734.4252580821585,257.4660532133985,250.89956318769848,6.5664900255,147.0385154201167,0.342974357443403,4.612,113.98779815626854,299.66978305359686,292.3045635364967,7.365219517199998,147.0385154201167,0.342974357443403,4.938,118.40766770634791,0.0,273.51679092504304,36.81518850000009,287.2275727285044,192.70488454999932,273.51679092504304,36.81518850000009,281.30901415206404,135.56326299307563,276.9098809074213,167.84906237262473,287.6624492942158,17.605058110451992,272.53607232388,48.87695585932313,281.16801968303946,157.40492769624194,281.72903624564316,130.8079668000004,0.07701941530567921,0.1350218296218559,0.5099555629039474,-0.15712995663957452,0.05989088789680995,0.06724718798644701,0.3310780834877045,0.5037280548121171,0.6640540273210723,-0.10205794336517804,0.6740484434036963,0.5963645115305581,42.20372984019838,12.764991301666175,-1.5155122726323589,True
Ausgrid 261,227.36173808709967,189.31742744593996,231.53170574654348,2636.215,2225.035228475264,2831.5728238199536,530.0060000000001,25.420667287000022,637.2982335950653,189.03256693470013,171.17112356069967,17.861443374000004,116.66619999159944,0.2848605112398349,4.974,94.25185735881729,231.18873138910007,207.80634297720036,23.382388412099996,116.66619999159944,0.342974357443403,6.1,89.71006227204245,0.0,199.70267370874336,48.21304150000012,217.12074324617782,159.68892344999944,199.70267370874336,48.21304150000012,210.66890567283897,114.06022236272443,205.7450040547959,145.23628072999946,207.7910343645326,17.039692587826423,189.39987015928006,58.74368207003637,214.40018926352548,112.28785081259434,206.1370800656444,107.69918309999943,0.07965116578547544,0.13773743497360957,0.48566837451712214,-0.1471923966215538,0.06336926478620666,0.06710468750915731,0.27801331236800964,0.45368861958550516,0.6874064824558584,-0.1525149442144722,0.4219985224478972,0.3692415154211128,42.214278300603524,16.732943265319943,-1.8340674620662631,True
Ausgrid 142,233.91212771990013,126.65695862514393,193.21366875734338,3082.336,1621.5363219773678,2698.684974786713,2034.358,382.50954635504866,1465.5158630066728,126.31398426770052,116.05151398940028,10.262470278100002,122.02051898779183,0.342974357443403,4.948,190.05265315525133,192.87069439989997,179.07087826750046,13.799816132299998,122.02051898779183,0.342974357443403,4.948,184.3451858668971,0.0,145.4086625842438,151.8776704999996,208.5993500826537,204.95646053703936,146.8115929243435,149.53485093006762,204.84470471414386,158.05081561399953,177.50137015234395,211.8540296872489,208.625122085338,22.652481754668475,161.0265698532808,113.50654776272668,203.25309969694337,165.81390323125873,198.90092858984303,159.1608464899993,0.1681428717651974,0.29154964752668583,0.48518568575211524,-0.1171046734483272,0.14566657774725805,0.15638416475470018,0.29258683783447537,0.4516744282580489,0.627618451161031,0.0953477695079753,0.5283015098668837,0.43544410328374566,66.55671013219946,45.85276109462342,17.399037561357837,True
Ausgrid 128,369.48429895639947,346.3081077569425,376.9626049619423,4365.071,4311.907510268769,4767.856571185444,187.64,17.227889197000028,486.4475456481841,345.9651333994991,333.78299251659973,12.182140882800008,120.8975737748801,0.342974357443403,5.234,118.14481026285993,376.6196306044989,362.33233230369933,14.287298300900007,120.8975737748801,0.342974357443403,5.64465836,105.21448644850514,0.0,360.0234843032422,17.31451,368.13980465898294,211.54985529999993,360.0234843032422,17.31451,363.2058325643433,138.44739004000002,356.3077843545422,169.00207274999985,359.8806025012867,15.194402274754202,354.0150626308462,28.232747057785748,356.6521294889419,180.60957520973207,362.16148708944337,134.97522697499954,0.09944699978778886,0.17322371620179366,0.49318536160331344,-0.17411969316750864,0.07537545753835197,0.09130312683102475,0.32499874038370086,0.4459085310423622,0.4789832805689037,-0.6060021761843786,0.2753409123518385,0.3566206669924405,30.654497204999814,6.272578094635588,-2.023984788166953,True
Ausgrid 168,189.81072060170106,135.51021913674282,182.05762772384264,2330.559,1692.6012510086334,2435.407523370768,782.124,26.668295983000032,782.0371912975272,135.1672447792994,128.60537824779973,6.5618665315,112.69114797328527,0.342974357443403,3.4019999999999997,118.38775105307073,181.71465336639923,172.4581483004991,9.256505066200003,112.69114797328527,0.342974357443403,3.4019999999999997,106.14724661845302,0.0,150.2586238396437,70.96669100000008,170.789834536684,176.81491081400125,150.2586238396437,70.96669100000008,172.09342225249492,128.93013489559988,157.03816003734346,166.8147265478402,177.81138714445478,17.941479596360196,146.97175493062372,75.87395296156755,176.97148350934356,136.40315290746793,168.50249691734317,127.487885271875,0.08835353244571194,0.1513592234270246,0.4716070361871303,-0.14239633510764738,0.07261436401388238,0.08001945775989916,0.2223173481234736,0.3250753146293306,0.610581373665971,-0.0786043493989328,0.29143885497497785,0.25678031166199217,46.547408587099824,28.607710509093135,4.084644351636763,True
