KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,421.38,209.80 (-50.2 %),311.60 (-26.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),101.80 (+24.2 %)
Energy bought (kWh),2171.0,1436.5 (-33.8 %),2017.8 (-7.1 %)
Energy sold (kWh),1009.2,158.5 (-84.3 %),752.3 (-25.5 %)
