KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,585.69,433.84 (-25.9 %),490.47 (-16.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),56.62 (+9.7 %)
Energy bought (kWh),3099.7,2750.8 (-11.3 %),2972.1 (-4.1 %)
Energy sold (kWh),455.3,22.4 (-95.1 %),250.1 (-45.1 %)
