controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,1095.9702999644144,1095.9702999644144,0.0,1095.9702999644144,0.0,705.3016666664521,1801.2719666308665,4.0,0.0,0.0,0.0,0.0,6029.782000000002,2108.6269999999968,4.656,0.0,0,0.0,0.020200252532958984,1,True
self_consumption,Self-consumption,True,831.259787855951,832.0613105340775,0.801522678126496,831.259787855951,0.0,705.3016666664521,1537.3629772005297,0.0,1524.119083102493,1379.3174725000001,0.0,0.0,4650.464527500021,584.5079168975072,4.414,137.93174725,0,1.1102230246251565e-16,0.046048641204833984,2,True
fixed_schedule,Fixed schedule,True,805.2700799126142,806.0716025907407,0.801522678126496,805.2700799126142,0.0,705.3016666664521,1511.3732692571928,0.0,1610.3440193905806,1457.1354775000004,689.2521745152347,0.0,5261.898697015253,1187.5351551246536,4.414,145.71354775000003,0,0.0,0.04937410354614258,2,True
delayed_pv_charge,Delayed PV charge,True,837.0014662021107,837.8029888802372,0.801522678126496,837.0014662021107,0.0,705.3016666664521,1543.1046555466892,0.0,1476.5229474573753,1336.3619600802792,0.0,0.0,4693.420039919745,632.1040525426268,4.414,133.63619600802792,0,5.551115123125783e-17,0.05003786087036133,2,True
price_threshold,Price threshold,True,748.3870891369721,749.1886118150986,0.801522678126496,748.3870891369721,0.0,705.3016666664521,1454.4902784815508,0.0,2648.3829639889364,2393.965625000002,1337.847772853185,0.0,4973.664147853205,798.0918088642646,5.576,239.39656250000021,0,1.1102230246251565e-16,0.05164909362792969,2,True
price_rank_daily,Day-ahead price rank,True,746.2676345646667,747.0691572427932,0.801522678126496,746.2676345646667,0.0,705.3016666664521,1452.3708239092452,0.0,2673.3845429363037,2416.5295500000016,1352.0596481994455,0.0,4965.31209819946,787.3021052631573,5.576,241.65295500000016,0,1.1102230246251565e-16,0.04897904396057129,2,True
tariff_arbitrage,Tariff arbitrage,True,816.428820174906,817.2303428530325,0.801522678126496,816.428820174906,0.0,705.3016666664521,1522.5320095194847,0.0,3008.26795776619,2718.7618318839886,2246.3237886296283,0.0,5557.343956745637,1346.6828308634372,5.576,271.87618318839884,0,1.1102230246251565e-16,0.36037731170654297,2,True
price_oracle,Price threshold (foresight),False,747.1666722544586,747.9681949325851,0.801522678126496,747.1666722544586,0.0,705.3016666664521,1453.269861599037,0.0,2634.309277008323,2381.2641225000025,1312.7616288088643,0.0,4961.2795063088815,787.0793518005534,5.576,238.12641225000024,0,1.1102230246251565e-16,0.05173206329345703,2,True
