KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,732.43,521.07 (-28.9 %),601.79 (-17.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),80.72 (+11.0 %)
Energy bought (kWh),3448.2,3166.4 (-8.2 %),3536.0 (+2.5 %)
Energy sold (kWh),403.7,16.2 (-96.0 %),385.6 (-4.5 %)
