KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,693.23,479.10 (-30.9 %),561.85 (-19.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),82.74 (+11.9 %)
Energy bought (kWh),3203.1,2924.6 (-8.7 %),3376.1 (+5.4 %)
Energy sold (kWh),493.6,107.2 (-78.3 %),554.6 (+12.4 %)
