KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,760.95,469.13 (-38.3 %),550.12 (-27.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),80.99 (+10.6 %)
Energy bought (kWh),3680.3,2870.8 (-22.0 %),3454.4 (-6.1 %)
Energy sold (kWh),1039.9,76.0 (-92.7 %),644.5 (-38.0 %)
