KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1172.85,843.13 (-28.1 %),897.26 (-23.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),54.13 (+4.6 %)
Energy bought (kWh),5669.5,5251.3 (-7.4 %),5525.3 (-2.5 %)
Energy sold (kWh),591.3,13.9 (-97.7 %),288.3 (-51.2 %)
