KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,258.13,207.81 (-19.5 %),237.23 (-8.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),29.42 (+11.4 %)
Energy bought (kWh),3270.6,2497.4 (-23.6 %),2973.2 (-9.1 %)
Energy sold (kWh),1022.8,164.9 (-83.9 %),644.0 (-37.0 %)
