KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,732.43,521.07 (-28.9 %),607.75 (-17.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),86.68 (+11.8 %)
Energy bought (kWh),3448.2,3166.4 (-8.2 %),3495.9 (+1.4 %)
Energy sold (kWh),403.7,16.2 (-96.0 %),362.4 (-10.2 %)
