KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,258.13,207.81 (-19.5 %),242.89 (-5.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),35.07 (+13.6 %)
Energy bought (kWh),3270.6,2497.4 (-23.6 %),3080.2 (-5.8 %)
Energy sold (kWh),1022.8,164.9 (-83.9 %),761.5 (-25.5 %)
