KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,471.40,262.51 (-44.3 %),347.48 (-26.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),84.97 (+18.0 %)
Energy bought (kWh),2330.6,1677.5 (-28.0 %),2065.2 (-11.4 %)
Energy sold (kWh),782.1,21.4 (-97.3 %),413.0 (-47.2 %)
