KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,693.23,479.10 (-30.9 %),590.82 (-14.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),111.71 (+16.1 %)
Energy bought (kWh),3203.1,2924.6 (-8.7 %),3408.0 (+6.4 %)
Energy sold (kWh),493.6,107.2 (-78.3 %),602.6 (+22.1 %)
