KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,563.77,402.63 (-28.6 %),454.57 (-19.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),51.94 (+9.2 %)
Energy bought (kWh),3185.0,2589.9 (-18.7 %),2869.2 (-9.9 %)
Energy sold (kWh),821.9,124.6 (-84.8 %),403.9 (-50.9 %)
