KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,461.66,423.88 (-8.2 %),449.91 (-2.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),26.03 (+5.6 %)
Energy bought (kWh),5669.5,5154.6 (-9.1 %),5577.5 (-1.6 %)
Energy sold (kWh),591.3,16.0 (-97.3 %),455.6 (-22.9 %)
