KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,791.67,526.99 (-33.4 %),619.75 (-21.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),92.76 (+11.7 %)
Energy bought (kWh),3740.4,3668.5 (-1.9 %),4240.7 (+13.4 %)
Energy sold (kWh),285.4,17.8 (-93.8 %),588.8 (+106.3 %)
