KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,816.77,625.89 (-23.4 %),693.14 (-15.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),67.25 (+8.2 %)
Energy bought (kWh),4365.1,4292.6 (-1.7 %),4584.8 (+5.0 %)
Energy sold (kWh),187.6,13.9 (-92.6 %),307.5 (+63.9 %)
