user_id,cluster_id,no_battery_cost,milp_cost,basic_dqn_cost,basic_dqn_reward,basic_dqn_improvement_pct,basic_milp_improvement_pct,basic_dqn_gap_vs_milp_pct,basic_dqn_fraction_theoretical_pct,extended_dqn_cost,extended_dqn_reward,extended_dqn_improvement_pct,extended_dqn_gap_vs_milp_pct,extended_dqn_fraction_theoretical_pct
138,0,1733.6511199399406,1250.0116001462786,1894.258565293023,-803.7458138648764,-9.264115686589022,27.89716536568308,51.53927892119988,-33.20808965768621,1617.4351664472495,-600.2311895862513,6.703537531629619,29.39361252791368,24.029457630400643
127,1,1421.4944785234695,1119.7098735668706,1386.8828451102795,-2833.635988750558,2.434876387922499,21.230093364137986,23.860910567156218,11.468985774860078,1242.9415728896997,-335.67269361268694,12.560928539042637,11.005681224393491,59.16567734111165
65,2,1649.153475034416,1233.602547535976,1524.8792695878533,-511.88375404906276,7.535636150781495,25.197832329690712,23.611877474935465,29.905890523377376,1405.8222154255889,-437.9730951976249,14.754919011024677,13.960709487314857,58.556302851650045
148,3,1959.8857948332427,1372.1714774706345,1724.7146057800765,-1045.2808391692495,11.999229224128124,29.987171646020016,25.692352165728984,40.01454143715717,1733.411511809776,-645.216405437811,11.555483672595138,26.326158229511236,38.5347568253534
223,4,1510.4095857157636,1027.876868992597,1401.5198352987877,-435.28410761843617,7.209286239094835,31.947143429608232,36.35094606928854,22.56629377515285,1201.3702635535708,-324.1906252776237,20.460630353834986,16.878811051659458,64.04525775181614
179,5,1391.5431700191502,1076.893484939697,1514.117584632015,-545.1577009516875,-8.808524036748203,22.611564761955833,40.60049631712661,-38.95583578350414,1258.3850738494018,-446.32488171250037,9.569095593916495,16.853253497013025,42.31947543062826
261,6,1186.9621844581188,956.4192135569189,2054.9860995104737,-980.700522750748,-73.12987106228931,19.422941515735754,114.86248607114338,-376.5128520983403,1070.914440720857,-228.1557360071245,9.776869495656321,11.971238714259094,50.336708720125934
142,7,1157.1099060488446,852.2914342771825,1013.099409755892,-192.0213416540004,12.4457059385743,26.343087219131878,18.867721651466404,47.244674988341934,992.753828512013,-179.3053533765628,14.204016116157392,16.480559182664425,53.91932994794024
128,8,1575.3323809201413,1207.6602141736525,1499.1574512020518,-495.8076175579371,4.835483015565022,23.33933912611724,24.137355326212983,20.718165966207717,1332.5141363028865,-391.6555457459369,15.41377854973223,10.338497589296331,66.04205228966347
168,9,1139.7411895588357,889.7739356077452,1070.0984421777591,-336.1457369176867,6.1104001521637965,21.931931235006637,20.26632826087969,27.860748270132664,978.1405833434984,-170.17207514625062,14.178710719219396,9.931359438551752,64.64871044547166
249,10,1971.5047169752359,1336.9555879833215,1741.7934315387745,-977.4551052684393,11.651571688293698,32.18603148794216,30.28057530064367,36.20070928178493,1498.9516409828332,-495.6789861709377,23.96915776683574,12.116786410524549,74.47068389221981
81,11,1036.0830682596386,822.6651318721405,1015.6774336508486,-196.63260658837467,1.9694979325418767,20.59853528404697,23.461830859352172,9.56134941335951,941.8844222249837,-147.51197444718684,9.091804404533425,14.491837046932535,44.13811117713205
104,12,2865.222096531577,2268.6933639753306,2800.538964368389,-1341.6710632869995,2.257525943328741,20.819633259088686,23.44281553594924,10.843255091168487,2713.604528913587,-1264.8370411277465,5.291651484941671,19.610899031266975,25.416641201552544
172,13,1394.5885356945964,1071.8007716541026,1334.7990767416147,-394.58363352012526,4.287247272056674,23.145734801249056,24.537984301096245,18.522839343278548,1199.0346433226302,-310.7308626332511,14.02233614910419,11.871037513078898,60.58280832089841
29,14,1458.9960161252106,1040.622593677718,1351.2685997550532,-531.3770854035635,7.383667616602479,28.675432819796537,29.851937480952156,25.749106083256912,1183.1010813543173,-300.77238640306166,18.909916937512467,13.69165810373757,65.94466091007946
27,15,1604.5021874441127,1228.089720583641,1534.2316324111252,-531.2289808136256,4.379586116047913,23.459766512383307,24.928301792314677,18.668498314917738,1438.9387952046425,-458.1709575595644,10.318676629740466,17.168865685220197,43.98456661661028
156,16,1786.82813655807,1342.511951133409,1746.426997607579,-651.3510840614377,2.261053434512996,24.8661959331208,30.08651402567902,9.092880312671232,1557.8197993804038,-532.4715851694381,12.816472524257433,16.03768577741317,51.54174992720295
180,17,1413.5272832814533,993.5149547039936,1416.585156010139,-738.1999330630617,-0.21632923289509554,29.71377585315623,42.583173942479235,-0.7280435645882979,1149.715996007153,-279.40670806112547,18.663331822069377,15.722062417238384,62.81036753559187
21,18,2390.577351619747,1703.624221953884,2358.348106211152,-1053.3017769386854,1.348178312940092,28.73586705740413,38.43123828718319,4.691622181599418,2131.8434643901587,-952.736375800564,10.823071131928938,25.135780350971455,37.66397968889631
290,19,1694.8479881131504,1224.3080910450558,1591.4500181374585,-628.4904718925625,6.10072234801443,27.76295575581028,29.987707324470463,21.974325794679338,1431.3218029925745,-453.4103374269984,15.548662002068742,16.908628919605857,56.00506710750598
66,20,1084.4521686742883,845.9414697862835,1009.2458040765193,-189.61283810437456,6.93496373285938,21.993657791249312,19.30444837176414,31.531652436724812,973.1787921012277,-167.07095561981185,10.260791557924502,15.040913214372754,46.65341097562678
240,21,1274.3582641249432,990.1389777598206,1225.2512426697604,-360.11623722525104,3.853470632052036,22.302934297702063,23.74538021337963,17.27786389277518,1129.1261082427186,-264.53802820831305,11.396493432869159,14.037133534259501,51.09862801345998
