KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,421.38,209.80 (-50.2 %),299.13 (-29.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),89.33 (+21.2 %)
Energy bought (kWh),2171.0,1436.5 (-33.8 %),1837.3 (-15.4 %)
Energy sold (kWh),1009.2,158.5 (-84.3 %),570.6 (-43.5 %)
