KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,909.52,680.68 (-25.2 %),763.97 (-16.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),83.29 (+9.2 %)
Energy bought (kWh),4534.2,4389.1 (-3.2 %),4878.3 (+7.6 %)
Energy sold (kWh),274.7,11.8 (-95.7 %),497.2 (+81.0 %)
