KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,239.20,118.54 (-50.4 %),198.71 (-16.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),80.17 (+33.5 %)
Energy bought (kWh),4018.0,2062.0 (-48.7 %),3345.1 (-16.7 %)
Energy sold (kWh),3862.8,1670.4 (-56.8 %),2946.3 (-23.7 %)
