KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,585.69,433.84 (-25.9 %),512.94 (-12.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),79.10 (+13.5 %)
Energy bought (kWh),3099.7,2750.8 (-11.3 %),3213.1 (+3.7 %)
Energy sold (kWh),455.3,22.4 (-95.1 %),483.0 (+6.1 %)
