KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,816.77,625.89 (-23.4 %),688.64 (-15.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),62.75 (+7.7 %)
Energy bought (kWh),4365.1,4292.6 (-1.7 %),4767.8 (+9.2 %)
Energy sold (kWh),187.6,13.9 (-92.6 %),470.6 (+150.8 %)
