KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,206.23,174.77 (-15.3 %),194.70 (-5.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),19.92 (+9.7 %)
Energy bought (kWh),2636.2,2182.7 (-17.2 %),2487.4 (-5.6 %)
Energy sold (kWh),530.0,25.6 (-95.2 %),318.6 (-39.9 %)
