KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,791.67,546.39 (-31.0 %),620.95 (-21.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),74.56 (+9.4 %)
Energy bought (kWh),3740.4,3585.6 (-4.1 %),4071.3 (+8.8 %)
Energy sold (kWh),285.4,9.6 (-96.6 %),485.1 (+70.0 %)
