KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,718.06,495.03 (-31.1 %),575.36 (-19.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),80.33 (+11.2 %)
Energy bought (kWh),3466.3,3155.0 (-9.0 %),3448.1 (-0.5 %)
Energy sold (kWh),467.3,42.5 (-90.9 %),343.4 (-26.5 %)
