KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,304.47,284.13 (-6.7 %),296.13 (-2.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),11.99 (+3.9 %)
Energy bought (kWh),3740.4,3494.0 (-6.6 %),3677.8 (-1.7 %)
Energy sold (kWh),285.4,12.3 (-95.7 %),200.5 (-29.7 %)
