KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,158.16,96.81 (-38.8 %),130.62 (-17.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),33.81 (+21.4 %)
Energy bought (kWh),2471.0,1437.9 (-41.8 %),2001.8 (-19.0 %)
Energy sold (kWh),1453.2,306.4 (-78.9 %),872.9 (-39.9 %)
