KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,270.78,229.55 (-15.2 %),252.76 (-6.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),23.21 (+8.6 %)
Energy bought (kWh),3304.8,2712.9 (-17.9 %),3083.8 (-6.7 %)
Energy sold (kWh),723.4,66.4 (-90.8 %),424.1 (-41.4 %)
