KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,383.79,352.40 (-8.2 %),366.89 (-4.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),14.49 (+3.8 %)
Energy bought (kWh),4741.6,4312.6 (-9.0 %),4551.0 (-4.0 %)
Energy sold (kWh),554.7,77.5 (-86.0 %),319.1 (-42.5 %)
