KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,206.23,174.77 (-15.3 %),199.56 (-3.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),24.78 (+12.0 %)
Energy bought (kWh),2636.2,2182.7 (-17.2 %),2582.3 (-2.0 %)
Energy sold (kWh),530.0,25.6 (-95.2 %),429.4 (-19.0 %)
