KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost (USD),342.36,196.51 (-42.6 %),203.07 (-40.7 %)
Regret vs perfect foresight (USD),—,0.00 (0.0 %),6.55 (+1.9 %)
Energy bought (kWh),1724.1,1697.3 (-1.6 %),1739.6 (+0.9 %)
Energy sold (kWh),201.9,30.0 (-85.2 %),75.3 (-62.7 %)
