obdobje,leto,mesec,Energija,Omrežnina,Prispevki in trošarina,Poslovanje,DDV,Za plačilo,Prevzeto [kWh],Povprečna cena [EUR/kWh]
11/2025,2025,11,26.57,15.12,1.96,0.99,9.82,54.46,244.0,0.2232
12/2025,2025,12,21.56,14.23,1.84,0.99,8.5,47.12,198.0,0.238
01/2026,2026,1,24.94,12.14,1.65,0.99,8.74,48.45,229.0,0.2116
02/2026,2026,2,23.74,11.93,1.62,0.99,8.42,46.71,218.0,0.2142
03/2026,2026,3,27.23,8.38,2.79,0.99,8.66,48.04,250.0,0.1922
04/2026,2026,4,24.39,7.95,2.72,0.99,7.93,43.99,224.0,0.1964
05/2026,2026,5,21.89,7.57,2.67,0.99,7.29,40.4,201.0,0.201
06/2026,2026,6,21.34,7.46,2.65,0.99,7.14,39.58,196.0,0.2019
07/2026,2026,7,19.28,7.13,2.61,0.99,6.6,36.6,177.0,0.2068
