KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,541.95,179.57 (-66.9 %),345.52 (-36.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),165.95 (+30.6 %)
Energy bought (kWh),4018.0,2113.7 (-47.4 %),3240.9 (-19.3 %)
Energy sold (kWh),3862.8,1680.7 (-56.5 %),2800.5 (-27.5 %)
