KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,363.73,317.77 (-12.6 %),351.10 (-3.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),33.33 (+9.2 %)
Energy bought (kWh),4569.7,3910.9 (-14.4 %),4447.3 (-2.7 %)
Energy sold (kWh),768.3,36.2 (-95.3 %),609.8 (-20.6 %)
