KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,466.98,425.28 (-8.9 %),445.29 (-4.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),20.01 (+4.3 %)
Energy bought (kWh),5853.9,5252.2 (-10.3 %),5578.2 (-4.7 %)
Energy sold (kWh),712.2,45.4 (-93.6 %),367.8 (-48.4 %)
