KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1095.97,772.03 (-29.6 %),922.82 (-15.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),150.79 (+13.8 %)
Energy bought (kWh),6029.8,4913.2 (-18.5 %),5617.9 (-6.8 %)
Energy sold (kWh),2108.6,821.3 (-61.0 %),1528.4 (-27.5 %)
