KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,461.66,423.88 (-8.2 %),448.70 (-2.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),24.82 (+5.4 %)
Energy bought (kWh),5669.5,5154.6 (-9.1 %),5559.6 (-1.9 %)
Energy sold (kWh),591.3,16.0 (-97.3 %),434.0 (-26.6 %)
