KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,988.03,723.35 (-26.8 %),809.41 (-18.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),86.07 (+8.7 %)
Energy bought (kWh),4741.6,4390.9 (-7.4 %),4931.4 (+4.0 %)
Energy sold (kWh),554.7,71.4 (-87.1 %),605.3 (+9.1 %)
