KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,610.41,393.37 (-35.6 %),468.92 (-23.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),75.56 (+12.4 %)
Energy bought (kWh),3270.6,2518.6 (-23.0 %),3118.5 (-4.7 %)
Energy sold (kWh),1022.8,141.5 (-86.2 %),725.2 (-29.1 %)
