KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1028.46,737.07 (-28.3 %),836.96 (-18.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),99.89 (+9.7 %)
Energy bought (kWh),4949.2,4329.1 (-12.5 %),5033.6 (+1.7 %)
Energy sold (kWh),790.7,24.3 (-96.9 %),714.3 (-9.7 %)
