KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,304.47,284.13 (-6.7 %),300.81 (-1.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),16.67 (+5.5 %)
Energy bought (kWh),3740.4,3494.0 (-6.6 %),3747.8 (+0.2 %)
Energy sold (kWh),285.4,12.3 (-95.7 %),285.8 (+0.2 %)
