KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,396.82,350.34 (-11.7 %),376.77 (-5.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),26.43 (+6.7 %)
Energy bought (kWh),4949.2,4272.5 (-13.7 %),4697.0 (-5.1 %)
Energy sold (kWh),790.7,38.4 (-95.1 %),462.2 (-41.5 %)
