KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost (USD),351.59,139.25 (-60.4 %),171.55 (-51.2 %)
Regret vs perfect foresight (USD),—,0.00 (0.0 %),32.31 (+9.2 %)
Energy bought (kWh),2235.1,1317.5 (-41.1 %),1859.8 (-16.8 %)
Energy sold (kWh),1199.7,84.6 (-92.9 %),641.8 (-46.5 %)
