KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,283.53,257.34 (-9.2 %),271.94 (-4.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),14.60 (+5.1 %)
Energy bought (kWh),3448.2,3098.7 (-10.1 %),3335.1 (-3.3 %)
Energy sold (kWh),403.7,15.5 (-96.2 %),247.6 (-38.7 %)
