KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1028.46,737.07 (-28.3 %),825.86 (-19.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),88.79 (+8.6 %)
Energy bought (kWh),4949.2,4329.1 (-12.5 %),4822.3 (-2.6 %)
Energy sold (kWh),790.7,24.3 (-96.9 %),516.4 (-34.7 %)
