KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,718.06,495.03 (-31.1 %),580.45 (-19.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),85.42 (+11.9 %)
Energy bought (kWh),3466.3,3155.0 (-9.0 %),3818.5 (+10.2 %)
Energy sold (kWh),467.3,42.5 (-90.9 %),692.6 (+48.2 %)
