KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,311.68,203.31 (-34.8 %),232.25 (-25.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),28.94 (+9.3 %)
Energy bought (kWh),4470.2,2753.4 (-38.4 %),3223.3 (-27.9 %)
Energy sold (kWh),2399.5,494.7 (-79.4 %),958.2 (-60.1 %)
