"Timestamp_UTC","SMP"
"2025-09-01 00:00:00+00:00","86.2"
"2025-09-01 01:00:00+00:00","82.3"
"2025-09-01 02:00:00+00:00","84.9"
"2025-09-01 03:00:00+00:00","91.0"
"2025-09-01 04:00:00+00:00","101.4"
"2025-09-01 05:00:00+00:00","103.8"
"2025-09-01 06:00:00+00:00","118.0"
"2025-09-01 07:00:00+00:00","106.0"
"2025-09-01 08:00:00+00:00","91.4"
"2025-09-01 09:00:00+00:00","88.0"
"2025-09-01 10:00:00+00:00","80.0"
"2025-09-01 11:00:00+00:00","75.0"
"2025-09-01 12:00:00+00:00","80.0"
"2025-09-01 13:00:00+00:00","92.9"
"2025-09-01 14:00:00+00:00","105.0"
"2025-09-01 15:00:00+00:00","100.0"
"2025-09-01 16:00:00+00:00","129.0"
"2025-09-01 17:00:00+00:00","160.0"
"2025-09-01 18:00:00+00:00","160.0"
"2025-09-01 19:00:00+00:00","140.0"
"2025-09-01 20:00:00+00:00","126.0"
"2025-09-01 21:00:00+00:00","119.0"
"2025-09-01 22:00:00+00:00","98.4"
"2025-09-01 23:00:00+00:00","93.0"
"2025-09-02 00:00:00+00:00","89.7"
"2025-09-02 01:00:00+00:00","86.9"
"2025-09-02 02:00:00+00:00","89.3"
"2025-09-02 03:00:00+00:00","96.2"
"2025-09-02 04:00:00+00:00","115.6"
"2025-09-02 05:00:00+00:00","110.0"
"2025-09-02 06:00:00+00:00","135.0"
"2025-09-02 07:00:00+00:00","127.79"
"2025-09-02 08:00:00+00:00","46.0"
"2025-09-02 09:00:00+00:00","43.0"
"2025-09-02 10:00:00+00:00","43.0"
"2025-09-02 11:00:00+00:00","34.0"
"2025-09-02 12:00:00+00:00","48.0"
"2025-09-02 13:00:00+00:00","66.0"
"2025-09-02 14:00:00+00:00","72.04"
"2025-09-02 15:00:00+00:00","101.52"
"2025-09-02 16:00:00+00:00","160.0"
"2025-09-02 17:00:00+00:00","210.0"
"2025-09-02 18:00:00+00:00","203.21"
"2025-09-02 19:00:00+00:00","155.0"
"2025-09-02 20:00:00+00:00","123.0"
"2025-09-02 21:00:00+00:00","117.0"
"2025-09-02 22:00:00+00:00","112.0"
"2025-09-02 23:00:00+00:00","110.0"
"2025-09-03 00:00:00+00:00","108.0"
"2025-09-03 01:00:00+00:00","82.8"
"2025-09-03 02:00:00+00:00","105.0"
"2025-09-03 03:00:00+00:00","111.0"
"2025-09-03 04:00:00+00:00","118.5"
"2025-09-03 05:00:00+00:00","119.3"
"2025-09-03 06:00:00+00:00","157.92"
"2025-09-03 07:00:00+00:00","157.74"
"2025-09-03 08:00:00+00:00","157.8"
"2025-09-03 09:00:00+00:00","150.0"
"2025-09-03 10:00:00+00:00","158.29"
"2025-09-03 11:00:00+00:00","120.0"
"2025-09-03 12:00:00+00:00","110.0"
"2025-09-03 13:00:00+00:00","107.0"
"2025-09-03 14:00:00+00:00","114.0"
"2025-09-03 15:00:00+00:00","121.0"
"2025-09-03 16:00:00+00:00","169.81"
"2025-09-03 17:00:00+00:00","220.0"
"2025-09-03 18:00:00+00:00","205.0"
"2025-09-03 19:00:00+00:00","144.6"
"2025-09-03 20:00:00+00:00","125.0"
"2025-09-03 21:00:00+00:00","119.3"
"2025-09-03 22:00:00+00:00","104.4"
"2025-09-03 23:00:00+00:00","115.0"
"2025-09-04 00:00:00+00:00","92.7"
"2025-09-04 01:00:00+00:00","87.0"
"2025-09-04 02:00:00+00:00","90.3"
"2025-09-04 03:00:00+00:00","99.4"
"2025-09-04 04:00:00+00:00","116.92"
"2025-09-04 05:00:00+00:00","119.3"
"2025-09-04 06:00:00+00:00","134.0"
"2025-09-04 07:00:00+00:00","112.5"
"2025-09-04 08:00:00+00:00","77.4"
"2025-09-04 09:00:00+00:00","50.0"
"2025-09-04 10:00:00+00:00","68.3"
"2025-09-04 11:00:00+00:00","68.1"
"2025-09-04 12:00:00+00:00","76.8"
"2025-09-04 13:00:00+00:00","80.1"
"2025-09-04 14:00:00+00:00","107.0"
"2025-09-04 15:00:00+00:00","119.3"
"2025-09-04 16:00:00+00:00","190.0"
"2025-09-04 17:00:00+00:00","235.51"
"2025-09-04 18:00:00+00:00","207.5"
"2025-09-04 19:00:00+00:00","134.1"
"2025-09-04 20:00:00+00:00","122.1"
"2025-09-04 21:00:00+00:00","119.3"
"2025-09-04 22:00:00+00:00","103.0"
"2025-09-04 23:00:00+00:00","115.0"
"2025-09-05 00:00:00+00:00","93.8"
"2025-09-05 01:00:00+00:00","89.2"
"2025-09-05 02:00:00+00:00","91.5"
"2025-09-05 03:00:00+00:00","100.1"
"2025-09-05 04:00:00+00:00","119.3"
"2025-09-05 05:00:00+00:00","119.3"
"2025-09-05 06:00:00+00:00","114.6"
"2025-09-05 07:00:00+00:00","118.0"
"2025-09-05 08:00:00+00:00","114.0"
"2025-09-05 09:00:00+00:00","92.0"
"2025-09-05 10:00:00+00:00","85.0"
"2025-09-05 11:00:00+00:00","88.0"
"2025-09-05 12:00:00+00:00","91.0"
"2025-09-05 13:00:00+00:00","92.0"
"2025-09-05 14:00:00+00:00","111.0"
"2025-09-05 15:00:00+00:00","126.0"
"2025-09-05 16:00:00+00:00","175.9"
"2025-09-05 17:00:00+00:00","245.0"
"2025-09-05 18:00:00+00:00","220.0"
"2025-09-05 19:00:00+00:00","140.0"
"2025-09-05 20:00:00+00:00","130.0"
"2025-09-05 21:00:00+00:00","118.0"
"2025-09-05 22:00:00+00:00","119.3"
"2025-09-05 23:00:00+00:00","119.3"
"2025-09-06 00:00:00+00:00","98.7"
"2025-09-06 01:00:00+00:00","95.0"
"2025-09-06 02:00:00+00:00","95.4"
"2025-09-06 03:00:00+00:00","100.7"
"2025-09-06 04:00:00+00:00","110.5"
"2025-09-06 05:00:00+00:00","113.8"
"2025-09-06 06:00:00+00:00","102.2"
"2025-09-06 07:00:00+00:00","90.0"
"2025-09-06 08:00:00+00:00","1.0"
"2025-09-06 09:00:00+00:00","1.0"
"2025-09-06 10:00:00+00:00","1.0"
"2025-09-06 11:00:00+00:00","1.0"
"2025-09-06 12:00:00+00:00","1.0"
"2025-09-06 13:00:00+00:00","1.0"
"2025-09-06 14:00:00+00:00","63.0"
"2025-09-06 15:00:00+00:00","109.0"
"2025-09-06 16:00:00+00:00","119.3"
"2025-09-06 17:00:00+00:00","138.0"
"2025-09-06 18:00:00+00:00","148.0"
"2025-09-06 19:00:00+00:00","120.5"
"2025-09-06 20:00:00+00:00","124.4"
"2025-09-06 21:00:00+00:00","111.7"
"2025-09-06 22:00:00+00:00","108.6"
"2025-09-06 23:00:00+00:00","119.3"
"2025-09-07 00:00:00+00:00","98.3"
"2025-09-07 01:00:00+00:00","95.0"
"2025-09-07 02:00:00+00:00","93.8"
"2025-09-07 03:00:00+00:00","95.4"
"2025-09-07 04:00:00+00:00","96.9"
"2025-09-07 05:00:00+00:00","87.8"
"2025-09-07 06:00:00+00:00","90.0"
"2025-09-07 07:00:00+00:00","4.0"
"2025-09-07 08:00:00+00:00","0.5"
"2025-09-07 09:00:00+00:00","0.5"
"2025-09-07 10:00:00+00:00","0.5"
"2025-09-07 11:00:00+00:00","0.5"
"2025-09-07 12:00:00+00:00","0.5"
"2025-09-07 13:00:00+00:00","0.5"
"2025-09-07 14:00:00+00:00","31.02"
"2025-09-07 15:00:00+00:00","104.4"
"2025-09-07 16:00:00+00:00","150.0"
"2025-09-07 17:00:00+00:00","171.4"
"2025-09-07 18:00:00+00:00","181.4"
"2025-09-07 19:00:00+00:00","149.4"
"2025-09-07 20:00:00+00:00","130.0"
"2025-09-07 21:00:00+00:00","121.4"
"2025-09-07 22:00:00+00:00","119.3"
"2025-09-07 23:00:00+00:00","93.0"
"2025-09-08 00:00:00+00:00","90.0"
"2025-09-08 01:00:00+00:00","84.1"
"2025-09-08 02:00:00+00:00","84.0"
"2025-09-08 03:00:00+00:00","88.9"
"2025-09-08 04:00:00+00:00","104.0"
"2025-09-08 05:00:00+00:00","130.62"
"2025-09-08 06:00:00+00:00","120.0"
"2025-09-08 07:00:00+00:00","105.0"
"2025-09-08 08:00:00+00:00","116.0"
"2025-09-08 09:00:00+00:00","83.6"
"2025-09-08 10:00:00+00:00","78.0"
"2025-09-08 11:00:00+00:00","78.0"
"2025-09-08 12:00:00+00:00","83.0"
"2025-09-08 13:00:00+00:00","88.0"
"2025-09-08 14:00:00+00:00","96.6"
"2025-09-08 15:00:00+00:00","119.3"
"2025-09-08 16:00:00+00:00","202.0"
"2025-09-08 17:00:00+00:00","348.0"
"2025-09-08 18:00:00+00:00","277.0"
"2025-09-08 19:00:00+00:00","165.0"
"2025-09-08 20:00:00+00:00","135.0"
"2025-09-08 21:00:00+00:00","122.9"
"2025-09-08 22:00:00+00:00","118.1"
"2025-09-08 23:00:00+00:00","109.1"
"2025-09-09 00:00:00+00:00","105.6"
"2025-09-09 01:00:00+00:00","101.9"
"2025-09-09 02:00:00+00:00","100.7"
"2025-09-09 03:00:00+00:00","109.8"
"2025-09-09 04:00:00+00:00","135.3"
"2025-09-09 05:00:00+00:00","148.6"
"2025-09-09 06:00:00+00:00","129.15"
"2025-09-09 07:00:00+00:00","116.0"
"2025-09-09 08:00:00+00:00","104.0"
"2025-09-09 09:00:00+00:00","94.0"
"2025-09-09 10:00:00+00:00","81.0"
"2025-09-09 11:00:00+00:00","74.0"
"2025-09-09 12:00:00+00:00","76.0"
"2025-09-09 13:00:00+00:00","100.0"
"2025-09-09 14:00:00+00:00","118.1"
"2025-09-09 15:00:00+00:00","140.09"
"2025-09-09 16:00:00+00:00","235.0"
"2025-09-09 17:00:00+00:00","430.1"
"2025-09-09 18:00:00+00:00","332.3"
"2025-09-09 19:00:00+00:00","194.26"
"2025-09-09 20:00:00+00:00","162.0"
"2025-09-09 21:00:00+00:00","120.0"
"2025-09-09 22:00:00+00:00","118.1"
"2025-09-09 23:00:00+00:00","106.8"
"2025-09-10 00:00:00+00:00","102.7"
"2025-09-10 01:00:00+00:00","101.7"
"2025-09-10 02:00:00+00:00","105.6"
"2025-09-10 03:00:00+00:00","114.8"
"2025-09-10 04:00:00+00:00","167.8"
"2025-09-10 05:00:00+00:00","202.5"
"2025-09-10 06:00:00+00:00","131.32"
"2025-09-10 07:00:00+00:00","122.31"
"2025-09-10 08:00:00+00:00","115.2"
"2025-09-10 09:00:00+00:00","105.43"
"2025-09-10 10:00:00+00:00","97.18"
"2025-09-10 11:00:00+00:00","94.98"
"2025-09-10 12:00:00+00:00","93.78"
"2025-09-10 13:00:00+00:00","98.05"
"2025-09-10 14:00:00+00:00","118.1"
"2025-09-10 15:00:00+00:00","121.0"
"2025-09-10 16:00:00+00:00","262.3"
"2025-09-10 17:00:00+00:00","445.01"
"2025-09-10 18:00:00+00:00","195.0"
"2025-09-10 19:00:00+00:00","127.48"
"2025-09-10 20:00:00+00:00","118.1"
"2025-09-10 21:00:00+00:00","120.4"
"2025-09-10 22:00:00+00:00","99.7"
"2025-09-10 23:00:00+00:00","91.9"
"2025-09-11 00:00:00+00:00","88.0"
"2025-09-11 01:00:00+00:00","85.2"
"2025-09-11 02:00:00+00:00","87.1"
"2025-09-11 03:00:00+00:00","96.2"
"2025-09-11 04:00:00+00:00","120.2"
"2025-09-11 05:00:00+00:00","142.1"
"2025-09-11 06:00:00+00:00","140.0"
"2025-09-11 07:00:00+00:00","129.51"
"2025-09-11 08:00:00+00:00","114.0"
"2025-09-11 09:00:00+00:00","98.7"
"2025-09-11 10:00:00+00:00","82.0"
"2025-09-11 11:00:00+00:00","82.0"
"2025-09-11 12:00:00+00:00","100.16"
"2025-09-11 13:00:00+00:00","118.1"
