KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,496.72,349.92 (-29.6 %),373.59 (-24.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),23.67 (+4.8 %)
Energy bought (kWh),2636.2,2206.6 (-16.3 %),2315.2 (-12.2 %)
Energy sold (kWh),530.0,19.7 (-96.3 %),144.4 (-72.8 %)
