KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,284.05,255.42 (-10.1 %),273.98 (-3.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),18.56 (+6.5 %)
Energy bought (kWh),3466.3,3088.3 (-10.9 %),3380.5 (-2.5 %)
Energy sold (kWh),467.3,46.9 (-90.0 %),339.0 (-27.5 %)
