KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,988.03,723.35 (-26.8 %),738.84 (-25.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),15.49 (+1.6 %)
Energy bought (kWh),4741.6,4390.9 (-7.4 %),4460.7 (-5.9 %)
Energy sold (kWh),554.7,71.4 (-87.1 %),149.4 (-73.1 %)
