KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,158.60,109.43 (-31.0 %),137.43 (-13.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),28.00 (+17.7 %)
Energy bought (kWh),2171.0,1420.7 (-34.6 %),1882.7 (-13.3 %)
Energy sold (kWh),1009.2,178.8 (-82.3 %),656.4 (-35.0 %)
