KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,471.40,262.51 (-44.3 %),369.00 (-21.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),106.48 (+22.6 %)
Energy bought (kWh),2330.6,1677.5 (-28.0 %),2279.7 (-2.2 %)
Energy sold (kWh),782.1,21.4 (-97.3 %),622.8 (-20.4 %)
